task_id,success_rate,num_runs,num_successes
103,1.0000,5,5
104,1.0000,5,5
105,1.0000,5,5
106,1.0000,5,5
107,1.0000,5,5
108,1.0000,5,5
109,1.0000,5,5
110,1.0000,5,5
111,0.8000,5,4
112,1.0000,5,5
113,1.0000,5,5
114,1.0000,5,5
115,1.0000,5,5
116,1.0000,5,5
117,0.4000,5,2
118,0.4000,5,2
119,0.4000,5,2
120,0.8000,5,4
121,1.0000,5,5
122,0.8000,5,4
123,1.0000,5,5
124,1.0000,5,5
125,1.0000,5,5
126,0.4000,5,2
127,0.8000,5,4
128,0.6000,5,3
129,1.0000,5,5
130,0.0000,5,0
131,1.0000,5,5
132,1.0000,5,5
133,1.0000,5,5
134,1.0000,5,5
135,1.0000,5,5
136,1.0000,5,5
137,1.0000,5,5
138,1.0000,5,5
139,0.6000,5,3
140,1.0000,5,5
141,0.8000,5,4
142,0.0000,5,0
143,1.0000,5,5
144,0.8000,5,4
145,0.2000,5,1
146,1.0000,5,5
147,1.0000,5,5
148,0.6000,5,3
149,1.0000,5,5
150,0.0000,5,0
151,0.8000,5,4
152,1.0000,5,5
153,1.0000,5,5
154,1.0000,5,5
155,0.8000,5,4
156,1.0000,5,5
157,1.0000,5,5
158,1.0000,5,5
159,1.0000,5,5
160,1.0000,5,5
161,0.4000,5,2
162,1.0000,5,5
163,1.0000,5,5
164,1.0000,5,5
165,1.0000,5,5
166,0.8000,5,4
167,0.8000,5,4
168,1.0000,5,5
169,1.0000,5,5
170,1.0000,5,5
171,1.0000,5,5
172,0.8000,5,4
173,1.0000,5,5
174,1.0000,5,5
175,1.0000,5,5
176,0.0000,5,0
177,1.0000,5,5
178,1.0000,5,5
179,1.0000,5,5
180,1.0000,5,5
181,1.0000,5,5
182,1.0000,5,5
183,1.0000,5,5
184,1.0000,5,5
185,1.0000,5,5
186,1.0000,5,5
187,0.4000,5,2
188,1.0000,5,5
189,0.0000,5,0
190,1.0000,5,5
191,1.0000,5,5
192,0.2000,5,1
193,0.4000,5,2
194,0.8000,5,4
195,1.0000,5,5
196,1.0000,5,5
197,0.2000,5,1
198,0.6000,5,3
199,1.0000,5,5
200,1.0000,5,5
201,0.8000,5,4
202,0.4000,5,2
203,0.2000,5,1
204,0.8000,5,4
205,1.0000,5,5
206,0.6000,5,3
207,1.0000,5,5
208,0.8000,5,4
209,0.8000,5,4
210,1.0000,5,5
211,1.0000,5,5
212,1.0000,5,5
213,1.0000,5,5
214,1.0000,5,5
215,0.8000,5,4
216,1.0000,5,5
217,1.0000,5,5
218,1.0000,5,5
219,1.0000,5,5
220,1.0000,5,5
221,0.4000,5,2
222,0.2000,5,1
223,1.0000,5,5
224,1.0000,5,5
225,1.0000,5,5
226,0.8000,5,4
227,1.0000,5,5
228,1.0000,5,5
229,1.0000,5,5
230,1.0000,5,5
231,0.8000,5,4
232,1.0000,5,5
233,0.8000,5,4
234,1.0000,5,5
235,0.8000,5,4
236,1.0000,5,5
237,1.0000,5,5
238,0.4000,5,2
239,1.0000,5,5
240,1.0000,5,5
241,1.0000,5,5
242,1.0000,5,5
243,1.0000,5,5
244,0.0000,5,0
245,0.0000,5,0
246,0.4000,5,2
247,1.0000,5,5
248,0.0000,5,0
249,1.0000,5,5
250,1.0000,5,5
251,1.0000,5,5
252,0.0000,5,0
253,0.6000,5,3
254,1.0000,5,5
255,1.0000,5,5
256,1.0000,5,5
257,0.4000,5,2
258,1.0000,5,5
259,0.8000,5,4
260,0.8000,5,4
261,1.0000,5,5
262,1.0000,5,5
263,1.0000,5,5
264,1.0000,5,5
265,1.0000,5,5
266,1.0000,5,5
267,0.2000,5,1
268,0.4000,5,2
269,1.0000,5,5
270,1.0000,5,5
271,0.8000,5,4
272,1.0000,5,5
273,1.0000,5,5
274,1.0000,5,5
275,1.0000,5,5
276,0.6000,5,3
277,0.8000,5,4
278,1.0000,5,5
279,1.0000,5,5
280,0.8000,5,4
281,1.0000,5,5
282,1.0000,5,5
283,0.8000,5,4
284,1.0000,5,5
285,1.0000,5,5
286,1.0000,5,5
287,1.0000,5,5
288,0.4000,5,2
289,1.0000,5,5
290,0.0000,5,0
291,1.0000,5,5
292,1.0000,5,5
293,1.0000,5,5
294,0.8000,5,4
295,1.0000,5,5
296,1.0000,5,5
297,1.0000,5,5
298,1.0000,5,5
299,1.0000,5,5
300,1.0000,5,5
301,1.0000,5,5
302,1.0000,5,5
303,1.0000,5,5
304,1.0000,5,5
305,0.0000,5,0
306,0.6000,5,3
307,0.4000,5,2
308,1.0000,5,5
309,1.0000,5,5
310,0.6000,5,3
311,1.0000,5,5
312,0.4000,5,2
313,1.0000,5,5
314,0.4000,5,2
315,1.0000,5,5
316,1.0000,5,5
317,1.0000,5,5
318,0.6000,5,3
319,0.8000,5,4
320,1.0000,5,5
321,0.4000,5,2
322,0.4000,5,2
323,1.0000,5,5
324,1.0000,5,5
325,1.0000,5,5
326,1.0000,5,5
327,1.0000,5,5
328,0.0000,5,0
329,0.2000,5,1
330,1.0000,5,5
331,0.0000,5,0
332,1.0000,5,5
333,0.6000,5,3
334,0.0000,5,0
335,1.0000,5,5
336,1.0000,5,5
337,0.0000,5,0
338,1.0000,5,5
339,0.6000,5,3
340,1.0000,5,5
341,1.0000,5,5
342,1.0000,5,5
343,1.0000,5,5
344,1.0000,5,5
345,0.8000,5,4
346,0.8000,5,4
347,1.0000,5,5
348,0.8000,5,4
349,0.6000,5,3
350,1.0000,5,5
351,0.0000,5,0
352,0.6000,5,3
353,0.2000,5,1
354,1.0000,5,5
355,1.0000,5,5
356,1.0000,5,5
357,1.0000,5,5
358,1.0000,5,5
359,1.0000,5,5
360,0.8000,5,4
361,0.0000,5,0
362,1.0000,5,5
363,1.0000,5,5
364,1.0000,5,5
365,0.6000,5,3
366,1.0000,5,5
367,1.0000,5,5
368,1.0000,5,5
369,1.0000,5,5
370,1.0000,5,5
371,1.0000,5,5
372,1.0000,5,5
373,0.8000,5,4
374,1.0000,5,5
375,0.6000,5,3
376,0.2000,5,1
377,0.4000,5,2
378,1.0000,5,5
379,1.0000,5,5
380,0.8000,5,4
381,1.0000,5,5
382,1.0000,5,5
383,0.8000,5,4
384,0.0000,5,0
385,0.4000,5,2
386,1.0000,5,5
387,1.0000,5,5
388,1.0000,5,5
389,0.0000,5,0
390,1.0000,5,5
391,1.0000,5,5
392,1.0000,5,5
393,0.2000,5,1
394,1.0000,5,5
395,0.0000,5,0
396,1.0000,5,5
397,1.0000,5,5
398,0.2000,5,1
399,1.0000,5,5
400,1.0000,5,5
401,1.0000,5,5
402,0.0000,5,0
403,1.0000,5,5
404,0.8000,5,4
405,0.4000,5,2
406,1.0000,5,5
407,0.4000,5,2
408,1.0000,5,5
409,1.0000,5,5
410,0.2000,5,1
411,1.0000,5,5
412,0.0000,5,0
413,1.0000,5,5
414,1.0000,5,5
415,0.4000,5,2
416,0.6000,5,3
417,1.0000,5,5
418,1.0000,5,5
419,0.2000,5,1
420,0.6000,5,3
421,1.0000,5,5
422,0.4000,5,2
423,1.0000,5,5
424,0.4000,5,2
425,1.0000,5,5
426,1.0000,5,5
427,0.0000,5,0
428,1.0000,5,5
429,0.8000,5,4
430,1.0000,5,5
431,0.0000,5,0
432,1.0000,5,5
433,0.6000,5,3
434,0.8000,5,4
435,1.0000,5,5
436,0.8000,5,4
437,0.6000,5,3
438,1.0000,5,5
439,0.8000,5,4
440,1.0000,5,5
441,0.6000,5,3
442,1.0000,5,5
443,0.6000,5,3
444,0.0000,5,0
445,0.8000,5,4
446,1.0000,5,5
447,1.0000,5,5
448,1.0000,5,5
449,1.0000,5,5
450,1.0000,5,5
451,0.0000,5,0
452,1.0000,5,5
453,0.8000,5,4
454,0.6000,5,3
455,1.0000,5,5
456,1.0000,5,5
457,1.0000,5,5
458,1.0000,5,5
459,1.0000,5,5
460,0.6000,5,3
461,1.0000,5,5
462,0.4000,5,2
463,0.6000,5,3
464,0.2000,5,1
465,1.0000,5,5
466,1.0000,5,5
467,0.6000,5,3
468,1.0000,5,5
469,0.6000,5,3
470,0.8000,5,4
471,1.0000,5,5
472,1.0000,5,5
473,0.0000,5,0
474,0.8000,5,4
475,1.0000,5,5
476,1.0000,5,5
477,0.6000,5,3
478,1.0000,5,5
479,1.0000,5,5
480,1.0000,5,5
481,1.0000,5,5
482,0.8000,5,4
483,1.0000,5,5
484,1.0000,5,5
485,1.0000,5,5
486,1.0000,5,5
487,1.0000,5,5
488,1.0000,5,5
489,1.0000,5,5
490,1.0000,5,5
491,0.6000,5,3
492,1.0000,5,5
493,1.0000,5,5
494,0.8000,5,4
495,1.0000,5,5
496,1.0000,5,5
497,0.0000,5,0
498,1.0000,5,5
499,1.0000,5,5
